Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1961","1961","ha","8483516","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1962","1962","ha","8694360","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1963","1963","ha","9007995","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1964","1964","ha","9228955","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1965","1965","ha","9360480","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1966","1966","ha","9075000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1967","1967","ha","9889400","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1968","1968","ha","9742100","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1969","1969","ha","10314000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1970","1970","ha","9912800","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1971","1971","ha","9297682","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1972","1972","ha","9629708","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1973","1973","ha","9878297","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1974","1974","ha","9792191","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1975","1975","ha","10329868","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1976","1976","ha","9882050","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1977","1977","ha","10027652","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1978","1978","ha","10101807","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1979","1979","ha","10159848","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1980","1980","ha","10308931","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1981","1981","ha","10460925","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1982","1982","ha","10585735","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1983","1983","ha","9738460","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1984","1984","ha","10223443","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1985","1985","ha","10398170","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1986","1986","ha","10609152","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1987","1987","ha","10322186","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1988","1988","ha","10224232","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1989","1989","ha","10478188","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1990","1990","ha","10435340","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1991","1991","ha","10244503","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1992","1992","ha","10178417","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1993","1993","ha","9905600","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1994","1994","ha","9919300","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1995","1995","ha","9951700","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1996","1996","ha","10200000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1997","1997","ha","10263000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1998","1998","ha","10119838","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","1999","1999","ha","10712955","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2000","2000","ha","10801214","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2001","2001","ha","10661000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2002","2002","ha","10771000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2003","2003","ha","10725040","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2004","2004","ha","10248102","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2005","2005","ha","10524067","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2006","2006","ha","10579000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2007","2007","ha","10575000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2008","2008","ha","11279150","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2009","2009","ha","11353532","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2010","2010","ha","11529000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2011","2011","ha","11528000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2012","2012","ha","11423000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2013","2013","ha","11372000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2014","2014","ha","11415642","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2015","2015","ha","11381221","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2016","2016","ha","11000809","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2017","2017","ha","11615000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2018","2018","ha","11515000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2019","2019","ha","11515545","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice, paddy","2020","2020","ha","11417745","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1961","1961","hg/ha","17005","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1962","1962","hg/ha","15302","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1963","1963","hg/ha","17690","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1964","1964","hg/ha","17070","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1965","1965","hg/ha","16827","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1966","1966","hg/ha","15827","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1967","1967","hg/ha","16944","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1968","1968","hg/ha","17466","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1969","1969","hg/ha","17459","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","16862","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1971","1971","hg/ha","16022","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1972","1972","hg/ha","15716","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1973","1973","hg/ha","18083","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1974","1974","hg/ha","17289","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1975","1975","hg/ha","18531","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1976","1976","hg/ha","17839","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1977","1977","hg/ha","19398","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1978","1978","hg/ha","19385","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1979","1979","hg/ha","18809","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1980","1980","hg/ha","20197","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1981","1981","hg/ha","19545","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1982","1982","hg/ha","20145","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1983","1983","hg/ha","22345","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1984","1984","hg/ha","21454","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1985","1985","hg/ha","21693","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1986","1986","hg/ha","21783","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1987","1987","hg/ha","22399","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1988","1988","hg/ha","22805","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1989","1989","hg/ha","25562","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1990","1990","hg/ha","25661","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1991","1991","hg/ha","26592","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1992","1992","hg/ha","26893","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1993","1993","hg/ha","27185","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1994","1994","hg/ha","25328","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1995","1995","hg/ha","26527","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1996","1996","hg/ha","27629","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1997","1997","hg/ha","27431","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1998","1998","hg/ha","29358","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","1999","1999","hg/ha","32139","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2000","2000","hg/ha","34836","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2001","2001","hg/ha","34020","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2002","2002","hg/ha","34902","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2003","2003","hg/ha","35768","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2004","2004","hg/ha","35359","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2005","2005","hg/ha","37814","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2006","2006","hg/ha","38541","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2007","2007","hg/ha","40833","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2008","2008","hg/ha","41441","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2009","2009","hg/ha","42404","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2010","2010","hg/ha","43422","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2011","2011","hg/ha","43917","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2012","2012","hg/ha","44206","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2013","2013","hg/ha","45317","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2014","2014","hg/ha","45382","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2015","2015","hg/ha","45518","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2016","2016","hg/ha","45863","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2017","2017","hg/ha","46619","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2018","2018","hg/ha","47257","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","47402","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice, paddy","2020","2020","hg/ha","48088","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1961","1961","tonnes","14426184","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1962","1962","tonnes","13304520","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1963","1963","tonnes","15934944","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1964","1964","tonnes","15753588","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1965","1965","tonnes","15750540","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1966","1966","tonnes","14363000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1967","1967","tonnes","16757000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1968","1968","tonnes","17015504","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1969","1969","tonnes","18007296","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1970","1970","tonnes","16714900","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1971","1971","tonnes","14896689","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1972","1972","tonnes","15133678","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1973","1973","tonnes","17862704","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1974","1974","tonnes","16929568","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1975","1975","tonnes","19142624","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1976","1976","tonnes","17628320","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1977","1977","tonnes","19451488","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1978","1978","tonnes","19582160","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1979","1979","tonnes","19109472","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1980","1980","tonnes","20821008","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1981","1981","tonnes","20445872","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1982","1982","tonnes","21324640","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1983","1983","tonnes","21761008","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1984","1984","tonnes","21933456","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1985","1985","tonnes","22556288","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1986","1986","tonnes","23110032","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1987","1987","tonnes","23120624","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1988","1988","tonnes","23316464","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1989","1989","tonnes","26784480","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1990","1990","tonnes","26777904","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1991","1991","tonnes","27242000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1992","1992","tonnes","27373000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1993","1993","tonnes","26928000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1994","1994","tonnes","25124000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1995","1995","tonnes","26399000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1996","1996","tonnes","28182000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1997","1997","tonnes","28152000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1998","1998","tonnes","29710000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","1999","1999","tonnes","34430000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2000","2000","tonnes","37627500","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2001","2001","tonnes","36269000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2002","2002","tonnes","37593000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2003","2003","tonnes","38361420","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2004","2004","tonnes","36235976","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2005","2005","tonnes","39795616","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2006","2006","tonnes","40773000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2007","2007","tonnes","43181000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2008","2008","tonnes","46742000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2009","2009","tonnes","48144000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2010","2010","tonnes","50061200","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2011","2011","tonnes","50627000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2012","2012","tonnes","50497000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2013","2013","tonnes","51534000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2014","2014","tonnes","51806593","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2015","2015","tonnes","51805464","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2016","2016","tonnes","50452866","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2017","2017","tonnes","54148000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2018","2018","tonnes","54416000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2019","2019","tonnes","54586344","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice, paddy","2020","2020","tonnes","54905891","","Official data"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1961","1961","ha","18500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1962","1962","ha","19000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1963","1963","ha","19500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1964","1964","ha","20000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1965","1965","ha","20500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1966","1966","ha","21000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1967","1967","ha","21500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1968","1968","ha","22000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1969","1969","ha","22500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1970","1970","ha","23000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1971","1971","ha","23500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1972","1972","ha","24000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1973","1973","ha","24500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1974","1974","ha","25000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1975","1975","ha","25500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1976","1976","ha","26000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1977","1977","ha","26500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1978","1978","ha","27000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1979","1979","ha","27500","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1980","1980","ha","28300","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1981","1981","ha","28000","","Official data"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1982","1982","ha","29000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1983","1983","ha","30000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1984","1984","ha","30612","","Official data"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1985","1985","ha","32000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1986","1986","ha","35000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1987","1987","ha","37000","","Official data"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1988","1988","ha","26030","","Official data"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1989","1989","ha","26000","","Official data"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1990","1990","ha","26295","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1991","1991","ha","31274","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1992","1992","ha","29896","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1993","1993","ha","28943","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1994","1994","ha","28000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1995","1995","ha","30000","F","FAO estimate"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1996","1996","ha","29969","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1997","1997","ha","28556","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1998","1998","ha","26748","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","1999","1999","ha","25207","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","27","Rice, paddy","2000","2000","ha","26000","F","FAO estimate"
