Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1961","1961","ha","33600","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1962","1962","ha","34800","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1963","1963","ha","34000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1964","1964","ha","36000","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1965","1965","ha","40500","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1966","1966","ha","42100","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1967","1967","ha","43700","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1968","1968","ha","43284","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1969","1969","ha","43083","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1970","1970","ha","39204","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1971","1971","ha","37984","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1972","1972","ha","37557","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1973","1973","ha","37462","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1974","1974","ha","36830","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1975","1975","ha","37211","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1976","1976","ha","37735","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1977","1977","ha","37992","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1978","1978","ha","38211","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1979","1979","ha","39044","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1980","1980","ha","40226","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1981","1981","ha","42385","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1982","1982","ha","42772","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1983","1983","ha","41940","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1984","1984","ha","40476","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1985","1985","ha","40580","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1986","1986","ha","40975","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1987","1987","ha","41055","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1988","1988","ha","38314","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1989","1989","ha","39142","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1990","1990","ha","38904","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1991","1991","ha","39119","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1992","1992","ha","38875","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1993","1993","ha","38948","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1994","1994","ha","39448","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1995","1995","ha","39700","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1996","1996","ha","39632","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1997","1997","ha","39646","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1998","1998","ha","39618","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","1999","1999","ha","39254","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","2000","2000","ha","40469","","Official data"
