Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1961","1961","tonnes","2000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1962","1962","tonnes","2000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1963","1963","tonnes","11000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1964","1964","tonnes","9000","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1965","1965","tonnes","9300","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1966","1966","tonnes","15400","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1967","1967","tonnes","20200","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1968","1968","tonnes","24400","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1969","1969","tonnes","30200","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1970","1970","tonnes","34800","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1971","1971","tonnes","27700","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1972","1972","tonnes","41555","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1973","1973","tonnes","43848","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","16","Bangladesh","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","1974","1974","tonnes","35555","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
