Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","1266","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","1287","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","1453","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","1487","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","1595","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","1702","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","1919","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","2035","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","2068","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","2532","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","3170","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","3335","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","4206","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","5463","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","6996","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","8091","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","9413","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","10915","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","12403","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","13756","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","13251","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","14798","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","13289","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","15330","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","15857","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","13364","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","14388","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","15144","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","15144","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","15144","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","29","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","6","A","Aggregate, may include official, semi-official, estimated or calculated data"
